"county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","cases_per_10000","deaths_per_10000","death_per_case"
"Anderson County",5575,75,57747,35292,22455,34468,12075,314,9981,160,11,42313,9357,4937,1499,774,3330,845,39.1,7028,18003,11065,5950,7753,9555,850,19102,35874,674,92,-15,-17,-23.0612244897959,-11.0555555555556,-18,6,965.418116958457,12.9876876720869,0.0134529147982063
"Andrews County",1606,37,17577,8980,8597,7229,265,37,9737,16,0,70753,2096,1616,920,781,1049,202,31.6,3255,3472,2419,3077,3181,2520,383,8054,15488,204,0,-28,-10.86,-23.0612244897959,14,-25,8.93693693693694,913.694031973602,21.0502361039995,0.0230386052303861
"Angelina County",6765,193,87700,42707,44993,53704,12878,933,18871,60,94,46472,16358,9885,3111,1577,7108,2261,36.8,13521,15235,15408,13142,16121,16863,2971,36164,67476,777,613,-13,-9,-23.0612244897959,-6,-20,8,771.379703534778,22.0068415051311,0.0285291943828529
"Aransas County",895,26,24832,12448,12384,16803,390,500,6714,6,26,44601,5077,2460,1104,888,1644,479,49.6,2970,3504,6703,2491,3541,7026,750,10387,17910,683,281,-16,1,-23,-11.0555555555556,-21,6,360.422036082474,10.4703608247423,0.0290502793296089
"Archer County",694,10,8793,4335,4458,7787,74,34,731,23,0,63192,1387,1111,564,289,419,54,44.8,1218,1368,1864,1074,1335,2161,133,4344,7994,200,41,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-17,8.93693693693694,789.264187421813,11.3726828158763,0.0144092219020173
"Atascosa County",3781,90,48139,24051,24088,16480,353,186,30585,55,12,55194,6911,5167,2228,1203,2573,490,35.4,7697,8975,7995,7410,8654,8506,1319,20208,36320,1165,213,-13,-13,-23.0612244897959,-11.0555555555556,-26,11,785.4338478157,18.6958599056898,0.0238032266596139
"Austin County",1404,18,29292,14474,14818,18533,2601,58,7598,11,28,62614,4634,3216,2088,1083,1919,546,40.9,4055,4846,5976,4001,4782,6487,773,13509,24490,610,253,-10,-1,-23.0612244897959,-11.0555555555556,-18,7,479.311757476444,6.14502253174928,0.0128205128205128
"Bailey County",742,15,7098,3678,3420,2459,108,63,4447,5,0,43523,1350,617,176,87,480,60,35.2,1226,1231,1254,1261,1089,1243,72,3157,4760,263,179,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-22,8.93693693693694,1045.36489151874,21.1327134404058,0.0202156334231806
"Bandera County",820,20,21316,10570,10746,16788,213,47,3836,48,16,56413,3737,2654,1135,752,858,142,52,2193,2933,6018,1990,2960,6433,523,8682,15248,644,159,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-24,11,384.687558641396,9.38262338149747,0.024390243902439
"Bastrop County",4373,57,80306,40845,39461,43147,6219,686,28883,353,368,59185,11035,8389,4428,2163,4231,1003,38.8,12166,14735,15061,11735,13309,15217,2809,33500,60970,1277,450,-15,-9,-23.0612244897959,-11.0555555555556,-30,12,544.542126366648,7.0978507209922,0.0130345300708896
"Bee County",3082,53,32729,19883,12846,10555,2697,155,19058,151,27,45415,4828,2414,810,479,2177,530,35.2,4431,10327,5474,4067,4351,4739,680,10125,18594,263,259,-21,-12,-23.0612244897959,-11.0555555555556,-31,10,941.672522839072,16.1935897827615,0.0171966255678131
"Bell County",16512,214,336506,168147,168359,158932,70588,9378,80846,977,325,52583,54335,40330,14152,7580,40412,9021,30.6,56058,73455,41622,52934,70329,48081,12218,135361,281247,5304,3202,-23,-15,-28,12,-24,10,490.689616232697,6.35947055921737,0.0129602713178295
"Bexar County",152231,2040,1892004,932577,959427,537451,133212,49745,1130949,2866,2844,53999,289607,195191,83763,59328,185966,56912,33.3,296513,392998,262676,282748,389002,308409,56840,867502,1613834,36333,14830,-25,-14,-46,-36,-39,14,804.601893019254,10.7822182194118,0.0134006871136628
"Blanco County",318,11,11089,5576,5513,8601,1,64,2119,0,0,58500,1873,1415,493,449,742,109,49.5,1367,1538,2988,1100,1591,3050,308,5106,8548,454,151,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-21,8.93693693693694,286.770673640545,9.9197402831635,0.0345911949685535
"Bosque County",988,20,17955,8831,9124,14127,246,57,3154,59,0,48677,3586,2231,843,367,1109,231,46.5,2246,2612,4506,2148,2688,4740,406,7475,13054,364,331,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-16,8.93693693693694,550.26455026455,11.1389585073796,0.0202429149797571
"Bowie County",4876,139,93635,47173,46462,60361,22371,892,6932,792,30,46283,17777,9703,3256,2435,7725,2625,38.2,13072,19032,16569,12541,16484,19121,2876,36668,68636,913,320,-14,-12,-16,11,-20,6,520.745447749239,14.8448763816949,0.02850697292863
"Brazoria County",26046,277,345995,175156,170839,169835,44790,21494,102715,1054,443,76426,37815,36759,22883,19631,24002,5848,35.6,54288,71200,53176,50593,68260,55692,8439,162270,306260,4545,1351,-11,-5,-10,-33,-28,11,752.785444876371,8.0058960389601,0.0106350303309529
"Brazos County",16634,162,214231,108478,105753,121439,21819,12857,53696,238,214,43907,42106,19996,8717,6661,24768,14905,25.8,36652,50725,22954,34701,47191,25547,5095,103649,184866,3415,2511,-20,-10,-17,-36,-33,10,776.451587305292,7.56193081300092,0.00973908861368282
"Brewster County",945,8,9220,4464,4756,4768,13,99,4079,153,12,38906,2475,862,354,241,1373,187,43.1,889,1694,2182,1234,1611,2036,318,4151,7448,196,111,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-24,8.93693693693694,1024.94577006508,8.67678958785249,0.00846560846560847
"Brooks County",685,29,7251,3750,3501,417,5,0,6824,0,0,24794,1432,424,138,28,330,183,31.8,1212,1685,916,1180,1193,1255,400,2489,4508,43,76,-17.2477876106195,-10.86,-23.0612244897959,-35,-19,8.93693693693694,944.697283133361,39.9944835195146,0.0423357664233577
"Brown County",3382,81,37787,18741,19046,27465,1369,238,8119,92,3,43062,7736,4087,1322,690,2756,485,41,5312,6362,7607,5052,6208,8562,684,15238,28732,347,231,-13,-10,-23.0612244897959,-11.0555555555556,-14,6,895.0168047212,21.4359435784794,0.0239503252513306
"Burleson County",1093,22,17596,8781,8815,11561,2169,59,3537,31,0,52510,3058,2268,743,496,813,210,42.9,2503,2787,3785,2079,2970,4133,557,7697,14286,193,85,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-20,8.93693693693694,621.163900886565,12.5028415548988,0.020128087831656
"Burnet County",2196,34,45017,22234,22783,33365,696,328,9857,276,0,57173,7398,5388,2383,1376,2810,706,44,5742,7089,10203,5619,6895,11123,869,19567,34405,1268,514,-21,-16,-23.0612244897959,-11.0555555555556,-22,10,487.815714063576,7.55270231245974,0.0154826958105647
"Caldwell County",2738,55,40544,20563,19981,16661,2458,393,20537,86,0,51346,6271,4216,1629,778,2989,867,35.8,6515,7685,6819,5464,7769,7270,649,18238,32684,722,645,-17,-9,-23.0612244897959,-4,-30,14,675.315706393054,13.5655090765588,0.0200876552227904
